"filename", "language", "Python", "Batch", "Markdown", "HTML", "JSON", "JSON with Comments", "XML", "CSV", "pip requirements", "comment", "blank", "total"
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Html\DSilHand_M30ScholarFragment.html", "HTML", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 2, 161
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Html\DSilHand_M40CompConspiracy.html", "HTML", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 2, 144
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Html\DSilHand_M50WolfAmbush.html", "HTML", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 2, 83
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Html\DSilHand_M60Retaliation.html", "HTML", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 2, 185
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Html\DSilHand_M80AssaultJor.html", "HTML", 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 2, 299
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Json\DSilHand_M10SilverHunt.json", "JSON", 0, 0, 0, 0, 535, 0, 0, 0, 0, 0, 0, 535
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Json\DSilHand_M20AngarvundesTreasure.json", "JSON", 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 212
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Json\DSilHand_M30ScholarFragment.json", "JSON", 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 310
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Json\DSilHand_M40CompConspiracy.json", "JSON", 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 229
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Json\DSilHand_M50WolfAmbush.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 41
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Json\DSilHand_M60Retaliation.json", "JSON", 0, 0, 0, 0, 412, 0, 0, 0, 0, 0, 0, 412
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Json\DSilHand_M80AssaultJor.json", "JSON", 0, 0, 0, 0, 922, 0, 0, 0, 0, 0, 0, 922
